web-scraper-order,web-scraper-start-url,Date,Open,Close
1620710729-3351,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",8,8.61
1620710729-3382,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2018",8.28,8.48
1620710729-3394,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2017",12.75,12.05
1620710729-3359,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2020",5.3,5.93
1620710729-3368,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2019",7.25,7.63
1620710729-3444,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2013",3.49,3.47
1620710729-3391,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2017",11.92,11.73
1620710729-3393,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017",12.15,11.92
1620710729-3406,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2016",9.47,9.57
1620710729-3401,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2017",10.62,11.11
1620710729-3460,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2012",3.48,3.32
