web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615854501-1129","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 31, 2019","72.48","73.41"
"1615854501-831","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 01, 2021","123.75","127.79"
"1615854501-866","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 08, 2021","132.43","132.05"
"1615854501-883","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 14, 2020","122.60","121.78"
"1615854501-932","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 06, 2020","115.70","113.16"
"1615854501-1010","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 18, 2020","87.85","87.93"
"1615854501-953","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 04, 2020","120.07","120.96"
"1615854501-846","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2021","137.35","136.76"
"1615854501-878","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 21, 2020","125.02","128.23"
"1615854501-896","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 24, 2020","113.91","115.17"
"1615854501-844","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 09, 2021","136.62","136.01"
"1615854501-1031","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 19, 2020","78.76","78.29"
"1615854501-906","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 10, 2020","115.55","115.97"
"1615854501-915","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 29, 2020","112.37","115.32"
"1615854501-861","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 15, 2021","128.78","127.14"
"1615854501-1020","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 04, 2020","81.10","80.58"
"1615854501-948","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 14, 2020","114.72","115.36"
"1615854501-1046","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 29, 2020","71.18","71.93"
"1615854501-920","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 22, 2020","117.45","115.75"
"1615854501-958","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 31, 2020","4:1 Stock Split","null"
"1615854501-1012","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 16, 2020","87.86","88.02"
"1615854501-970","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 13, 2020","114.43","115.01"
"1615854501-830","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 02, 2021","128.41","125.12"
"1615854501-959","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 28, 2020","126.01","124.81"
"1615854501-1080","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 11, 2020","69.35","68.86"
"1615854501-918","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 26, 2020","114.01","115.05"
"1615854501-1039","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 08, 2020","0.205 Dividend","null"
"1615854501-1041","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 06, 2020","75.11","75.16"
"1615854501-939","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 25, 2020","108.43","112.28"
"1615854501-859","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 20, 2021","128.66","132.03"
